Title,Service Group,Service Category,Description,Eligibility
"Canada Ontario Job Grant
",Employment - Employer,Hiring & Training Incentives,"Are you an employer with a particular skills demand? Invest in your workforce through the Canada Ontario Job Grant, which provides up to $15,000 per individual for employee training. 
The grant is available to small, medium and large-sized businesses delivering short-term training to existing and new employees through an eligible, third-party trainer. Employers are expected to make a financial contribution to overall training costs based on business size. Contact Phoenix if you would like to learn more or to start your COJG application.","Must make minimum financial contributions towards training costs 
Employs the individual selected for training (higher priority is given to employers who are training and hiring unemployed individuals) 
Licensed to operate in Ontario 
Applying for training delivered in Ontario and related to a job located in Ontario 
Complies with the Occupational Health and Safety Act and the Employment Standards Act
Maintains appropriate Workplace Safety and Insurance Board or private workplace safety insurance coverage 
Adequate third-party general liability insurance, as advised by its insurance broker
Complies with all applicable federal and provincial human rights legislation, regulations and any other relevant standards."
Youth Job Connection,Employment - Employer,Hiring & Training Incentives,"The Youth Job Connection (YJC) and Youth Job Connection Summer (YJCS) programs provide employers with hiring and training incentives towards the training and hiring of candidates ages 15 to 29. Through the program, a free training wage subsidy is offered to qualified employers to help offset and cover costs of hiring and training new recruits. Amounts available are developed based on the needs of the participant and the training offered by the employer.

Our Registered Employers will receive:
- Access to a large pool of candidates who are willing to learn and work
- Access to funding allocated for the training of the new recruits
- Access to Job Developers and Career Specialists who will find the right candidate for the right job
- Free job postings on our internal network
- Free wage training subsidy ","Employers providing job placement and/or job trial opportunities for participants must be:
• Private sector businesses, not-for-profit organizations, municipal governments or a broader public sector organization (as defined under the Broader Public Sector Accountability Act, 2010) 
• Be licensed to operate in Ontario 
• Comply with the Occupational Health and Safety Act and the Employment Standards Act 
• Maintain appropriate Workplace Safety and Insurance Board or private workplace safety insurance coverage 
• Have adequate third party general liability insurance, as advised by its insurance broker 
• Comply with all applicable federal and provincial human rights and labour legislation, regulations, and any other relevant standards 
• Provide the job placement in Ontario"
Youth Job Connection-Summer,Employment - Employer,Hiring & Training Incentives,"The Youth Job Connection (YJC) and Youth Job Connection Summer (YJCS) programs provide employers with hiring and training incentives towards the training and hiring of candidates ages 15 to 29. Through the program, a free training wage subsidy is offered to qualified employers to help offset and cover costs of hiring and training new recruits. Amounts available are developed based on the needs of the participant and the training offered by the employer.

Our Registered Employers will receive:
- Access to a large pool of candidates who are willing to learn and work
- Access to funding allocated for the training of the new recruits
- Access to Job Developers and Career Specialists who will find the right candidate for the right job
- Free job postings on our internal network
- Free wage training subsidy ","Employers providing job placement and/or job trial opportunities for participants must be:
• Private sector businesses, not-for-profit organizations, municipal governments or a broader public sector organization (as defined under the Broader Public Sector Accountability Act, 2010) 
• Be licensed to operate in Ontario 
• Comply with the Occupational Health and Safety Act and the Employment Standards Act; 
• Maintain appropriate Workplace Safety and Insurance Board or private workplace safety insurance coverage 
• Have adequate third party general liability insurance, as advised by its insurance broker 
• Comply with all applicable federal and provincial human rights and labour legislation, regulations, and any other relevant standards 
• Provide the job placement in Ontario"
Employment Ontario Services,Employment - Employer,Hiring & Training Incentives,"Phoenix’s Employment Ontario Services offer a range of resources to support the human resource needs of employers in the communities that we serve. In order to offset the costs of on-boarding new staff, Phoenix has a number of hiring and placement incentives to support employers. Funded through MLTSD, our professional team of Job Developers and Placement Consultants are available to assist with the completion of the subsidy, development of training plans and monitoring and support to ensure employment success. Subsidy amounts and length of support are customized based on the needs of the new employee and the employment opportunity. Contact us to set up a one-on-one appointment to address your employment needs.","Placements and Incentives To participate in placements, employers must:
• Be licensed to operate in Ontario 
• Comply with all applicable legislation, including federal/provincial human rights legislation, regulations, and any other relevant standards, Occupational Health and Safety Act, Employment Standards Act, freedom of information and protection of privacy legislation
• Provide Employment Service Placement employment in Ontario
• Maintain appropriate WSIB or alternate workplace safety insurance coverage and have adequate third-party general liability insurance as advised by its insurance broker

As well, employers must:
• Develop a relevant training/work experience plan that will help the participants achieve their labour market/employment goal, and help the employer achieve their business goals, in conjunction with the service provider and participant
• Provide feedback and assessments of a participant’s skills level, where required 
• Have potential for a long-term employment/contract position for the participant
• Demonstrate the ability to provide the participant with adequate supervision, and the training/work experience described in the Employment Service plan
• Place the participant on the company’s payroll and provide the same employment terms, conditions and benefits as for all regular employees"
Employability Skills for Youth,Employment - Employer,Hiring & Training Incentives,"Hiring a youth from the Employability Skills for Youth (ES4Y) Program can lower an employer's hiring and on-boarding costs. Phoenix can provide wage reimbursement of $3,000 spread over a 9-week period to employers who hire youth who have completed the program. Contact one of our Job Developers to review our candidates and receive assistance in applying for the wage reimbursement.

We offer:
•         Wage subsidy of up to 70% of minimum wage
•         Pre-screened and job ready candidates
•         No fees for service","Be licensed to operate in Ontario and in business for at least six months
Have a job opening available and looking to hire in Ontario 
Cover 30% of new hire wages at minimum wage   
Adhere to Occupational Health and Safety Act and the Employment Standards Act
Maintain appropriate Workplace Safety and Insurance Board coverage or private workplace safety insurance coverage"
Bridges to Employment ,Employment - Job Seeker,Employment Programs,"Take action to reach your employment goals. 

This 11-week program combines work exploration and career planning in a classroom setting. 
Broken into three components, explained in detail below, this program can be customized to address specific group needs. Individualized assistance is also provided through coaching sessions and mutually agreed upon tasks. This will assist participants in creating their final action plan that will bring them closer to their employment goals. Post-program support is offered for six months following the completion of the program. 

Component 1: Team Building, Self-Assessments and Addressing Barriers 

Learn about yourself to create a better future.

Assessment tools will help you:
Gain a better understanding of yourself and your areas for improvement
Communicate more effectively with group members
Identify your interests, values, competencies and personality traits
Create your action plan and set goals
Develop improved self-management skills

Component 2: Employability, Essential Skills and Introduction to Action Planning 

Identify how to improve your employability skills and how they apply to the labour market and job requirements. 

Resources will address: 
Employment barriers
Communication skills
Life skills to manage time, finances, health and life
Personal action planning
Individual employability skill levels
Skills improvement

Component 3: Labour Market Research and Job Search Skills 

Learn how to connect your strengths and weaknesses to the world of work.

In this module, you will:
Conduct extensive research on potential occupations
Identify suitable employment opportunities that match your interests
Consider alternative work options
Determine your employment goals

Action Plan
Make yourself accountable by measuring your success.

Participants are required to complete a final action plan before program completion. This action plan will consolidate learnings and skills acquired from the program. Through individual consultations as well as group workshops, the action plan will be reviewed and modified with alternative actions should initial plans prove to be unsuccessful. The action plan will identify steps taken to date, results and future activities required for you to achieve your employment objectives.

Follow-up
We aim to assist you in following your path to achieving your career goal.

Every participant will have a vision and plan put in place before graduating from the program. Post-program support is offered for six months after the program is completed. To get more individual support and guidance, follow-up appointments can be booked over the phone or by email. ","18 years of age or older
Able to read, write and speak English (Canadian Language Benchmark (CLB) Level 5) to complete program activities.
Able to function in a group setting and be able to complete individual assignments.
In need of assistance to develop career goals and the skills necessary to enter the labour market.
Legally entitled to work, and/or attend educational/training programs or proof they have applied for a work permit.
Able to commit to a full-time 11-week program, Monday to Friday 9:00 am to 4:00 pm."
Digital Health Careers Programs,Employment - Job Seeker,Employment Programs,"Find a rewarding career in Digital Health. 

Digital Health Careers (DHC) assists internationally-trained Healthcare and Information Technology professionals to find alternative careers in Health Informatics. 

Program features: 
Four weeks of pre-employment in-class sessions 
Personalized support to complete an employment action plan 
One-on-one employment planning and support 
A networking activity 
Informational interview opportunities* 
Sector-specific information and resources provided by Digital Health Canada* 

*For selected group sessions","Permanent Resident or Convention Refugee 
Available to attend the mandatory 4-week in-class training delivered Monday to Friday from 9:00 am to 2:00 pm 
Committed to building an alternative career in Health Informatics 
Actively searching for employment 
Canadian Language Benchmark 7 or higher (verbal and written)"
Second Career,Employment - Job Seeker,Training,"Get back to work in a new occupation.

Second Career provides laid-off, unemployed individuals with financial support and skills training to find employment in high-demand occupations. 

Program features:
Application process assistance for eligible individuals
Labour market considerations
Career and educational opportunities
Eligibility and suitability assessments ","Laid-off 
Unemployed
Resident of Ontario
Canadian Citizen, Permanent Resident or Convention Refugee claimant 
Demonstrate occupational demand for the skills training request with evidence of good employment prospects locally or within Ontario. 

NOTE: Participants must also undergo a suitability assessment to determine if eligible individuals meet the recommended need/priority threshold."
Employment Ontario Services,Employment - Job Seeker,Employment Programs,"Phoenix’s Employment Services offers a range of resources to support the career and employment needs of individuals in the communities we serve. This service helps jobseekers explore career goals, identify training needs, acquire job search and retention skills. Phoenix also assists job seekers in securing meaningful employment by providing access to job opportunities, current labour market information and trends, hiring events, information sessions, workshops and professional one-on-one career support. ","Unemployed or underemployed (<20 hours per week)
Not participating in full-time training or education
Resident of Ontario
Legally entitled to work in Canada"
Career Pathways for Women,Employment - Job Seeker,Employment Programs,"Career Pathways is a free program designed to provide visible minority newcomer women with the essential skills needed to successfully navigate the Canadian workforce. Two weeks of classroom-style curriculum is followed by 10 weeks of individualized coaching and support by a workplace development coach. 

Program features: 
One-on-one coaching and job search support 
Portfolio and career development 
Essential job market skills 
Assessment and enhancement 
Networking and mentoring activities
Events and employer connections
Childcare support services (if eligible) 
Transportation cost reimbursement 

Apply at careerpathways@Phoenix.com to access this customized training. Intake and Information sessions are held each month on scheduled dates from 10:00 am until 2:00 pm. Only 15 seats available per cohort. Email now to reserve your spot.","Eligible to work in Canada
Permanent Resident or Convention Refugee
Canadian Language Benchmark (CLB) 7 or higher (verbal and written)"
